story_id,prediction,rationale
95,1,"Prediction is consistent.""Toxicology  It was really the Count of Monte Cristo who had just arrived at Madame de Villefort’s for the purpose of returning the procureur’s visit, and at his name, as may be easily imagined, the whole house was in confusion."""
136,1,"Prediction is consistent.""Faria, since their first acquaintance, had been on all points so rational and logical, so wonderfully sagacious, in fact, that he could not understand how so much wisdom on all points could be allied with madness."""
59,1,"Prediction is consistent.""Never was professor in such embarrassment."""
60,1,"Prediction is consistent.""Thalcave, meanwhile, hastened their progress, as he wished to arrive that evening at Fort Independence."""
124,1,"Prediction is consistent.""But how will you pass through the barrier without exciting suspicion? It seems to me that you are in more danger riding than on foot."""
111,1,"Prediction is consistent.""Madame de Saint-Méran has arrived, and her husband is dead!”  M."""
135,1,"Prediction is consistent.""It was the governor, who, hearing of Faria’s illness from the jailer, had come in person to see him."""
27,1,"Prediction is consistent.""As soon as he arrived at the bay, he was to send a detachment of sailors under the command of Ayrton."""
110,1,"Prediction is consistent.""Starting up, he clasped his hands around his head as though to prevent his very brain from bursting, and exclaimed, “His father! his father!”  “Yes, his father,” replied the abbé; “his right name was Noirtier de Villefort."""
42,1,"Prediction is consistent.""Well, what did the letter say?""  ""It ordered me to leave Melbourne without delay, and come to the eastern shores of----""  ""Australia!"" cried Glenarvan, with an impetuosity that disconcerted the old sailor."""
56,0,Prediction is inconsistent.
80,1,"Prediction is consistent.""He wishes to exchange his prisoners for some chiefs of his tribe."""
28,1,"Prediction is consistent.""Well, what did the letter say?""  ""It ordered me to leave Melbourne without delay, and come to the eastern shores of----""  ""Australia!"" cried Glenarvan, with an impetuosity that disconcerted the old sailor."""
101,1,"Prediction is consistent.""Noirtier, for whom France was a vast chess-board, from which pawns, rooks, knights, and queens were to disappear, so that the king was checkmated—M."""
91,1,"Prediction is consistent.""My brother had arrived the previous evening at Nîmes, and, at the very door of the house where he was about to demand hospitality, he had been assassinated."""
24,1,"Prediction is consistent.""They then returned to the deck, and the seven travelers left the vessel."""
119,1,"Prediction is consistent.""It was the governor, who, hearing of Faria’s illness from the jailer, had come in person to see him."""
93,1,"Prediction is consistent.""He sank into his seat, and hastily turning over the packet, drew forth the fatal letter, at which he glanced with an expression of terror."""
72,1,"Prediction is consistent.""Their chief, after an obstinate resistance, in which he lost his principal warriors, was now on his way to rouse again the river tribes."""
16,1,"Prediction is consistent.""The secretary of the Geographical Society must have been an agreeable person, for all this was said with much modesty."""
30,1,"Prediction is consistent.""Well, what did the letter say?""  ""It ordered me to leave Melbourne without delay, and come to the eastern shores of----""  ""Australia!"" cried Glenarvan, with an impetuosity that disconcerted the old sailor."""
97,1,"Prediction is consistent.""You know poisons become remedies in certain diseases, of which paralysis is one."""
22,1,"Prediction is consistent.""He told them of Witcombe and Charlton Howitt, men known in their own circles and in connection with their own branch of the New Zealand government."""
53,1,"Prediction is consistent.""If the inundation increased, where could they find a refuge? The vast circle of the horizon did not offer a single point, and on this level plain the progress of the water must be rapid."""
58,1,"Prediction is consistent.""Never was professor in such embarrassment."""
81,1,"Prediction is consistent.""He is prisoner of the Pakekas (Europeans)."""
47,1,"Prediction is consistent.""At the same moment he raised Robert in his arms and clasped him to his breast."""
7,1,"Prediction is consistent.""I took a cab from the Caledonian Railway to the Scotia, in which I had engaged cabin number six at Paris."""
121,1,"Prediction is consistent.""Dantès drew a plan of the island for Faria, and Faria gave Dantès advice as to the means he should employ to recover the treasure."""
129,0,Prediction is inconsistent.
51,1,"Prediction is consistent.""The wolves, starting on the track of the horse, fled into the darkness with a terrible speed."""
127,1,"Prediction is consistent.""aria, at the age of fifty, had devoted three years to the task; he, who was but half as old, would sacrifice six; Faria, a priest and savant, had not shrunk from the idea of risking his life by trying to swim a distance of three miles to one of the islands—Daume, Rattonneau, or Lemaire; should a har."""
133,0,Prediction is inconsistent.
52,1,"Prediction is consistent.""The Patagonian must have used excellent arguments, for, after ""discussing"" some time, Thaouka yielded, and obeyed his master's commands."""
114,1,"Prediction is consistent.""Rome; but after reading them over many times, I found out that with one hundred and fifty well-chosen books a man possesses, if not a complete summary of all human knowledge, at least all that a man need really know."""
2,1,"Prediction is consistent.""He did not, however, notice one peculiarity observed by Glenarvan, and that was the young captain's attentions to his neighbor, Mary Grant."""
33,1,"Prediction is consistent.""In the month of September, 1864, I made my appearance at the Irishman's farm, and was received as a servant under my true name of Ayrton."""
15,1,"Prediction is consistent.""The geographer was just then a curious sight."""
82,1,"Prediction is consistent.""He is prisoner of the Pakekas (Europeans)."""
37,1,"Prediction is consistent.""As soon as he arrived at the bay, he was to send a detachment of sailors under the command of Ayrton."""
3,1,"Prediction is consistent.""They then returned to the deck, and the seven travelers left the vessel."""
103,1,"Prediction is consistent.""When my father conspired, it was not for the emperor, it was against the Bourbons; for M."""
94,1,"Prediction is consistent.""Starting up, he clasped his hands around his head as though to prevent his very brain from bursting, and exclaimed, “His father! his father!”  “Yes, his father,” replied the abbé; “his right name was Noirtier de Villefort."""
85,1,"Prediction is consistent.""He wishes to exchange his prisoners for some chiefs of his tribe."""
21,1,"Prediction is consistent.""They then returned to the deck, and the seven travelers left the vessel."""
49,1,"Prediction is consistent.""According to Thalcave's orders, they advanced in close ranks, and at evening encamped in a spacious abandoned rancho, where the chief Catriel generally assembled his bands of natives."""
140,1,"Prediction is consistent.""Until this day and for how long a time!—he had refrained from talking of the treasure, which had brought upon the abbé the accusation of madness."""
64,1,"Prediction is consistent.""Never was professor in such embarrassment."""
131,1,"Prediction is consistent.""Until this day and for how long a time!—he had refrained from talking of the treasure, which had brought upon the abbé the accusation of madness."""
61,1,"Prediction is consistent.""The wolves, starting on the track of the horse, fled into the darkness with a terrible speed."""
86,1,"Prediction is consistent.""Their chief, after an obstinate resistance, in which he lost his principal warriors, was now on his way to rouse again the river tribes."""
38,1,"Prediction is consistent.""As soon as he arrived at the bay, he was to send a detachment of sailors under the command of Ayrton."""
132,1,"Prediction is consistent.""Rome; but after reading them over many times, I found out that with one hundred and fifty well-chosen books a man possesses, if not a complete summary of all human knowledge, at least all that a man need really know."""
77,1,"Prediction is consistent.""Their chief, after an obstinate resistance, in which he lost his principal warriors, was now on his way to rouse again the river tribes."""
70,1,"Prediction is consistent.""Kai-Koumou cast a strange look at Glenarvan, and then, guarding with one hand the person of him who had fired, he controlled with the other the throng that was rushing upon the Europeans."""
115,1,"Prediction is consistent.""The perspiration poured forth upon the young man’s brow, and he felt as if he should faint."""
78,1,"Prediction is consistent.""He wishes to exchange his prisoners for some chiefs of his tribe."""
87,1,"Prediction is consistent.""Noirtier, for whom France was a vast chess-board, from which pawns, rooks, knights, and queens were to disappear, so that the king was checkmated—M."""
75,1,"Prediction is consistent.""The natives had fled to the neighboring plateaus, beyond the reach of the volcano."""
44,1,"Prediction is consistent.""You would have thought, to look at him, that he was a stranger to this serious affair."""
